"player_page","player"
"/wiki/Rupert_Wertheim","R Wertheim"
"/wiki/Gerald_Patterson","G L Patterson"
"/wiki/Leslie_Rainey","L Rainey"
"/wiki/Rodney_Heath","R W Heath"
"/wiki/Ronald_Thomas_(tennis)","R Thomas"
"/wiki/Gordon_Lowe","Gordon Lowe"
"/w/index.php?title=Roy_Francus_Highett&action=edit&redlink=1","Roy F Highett"
"/w/index.php?title=Roy_Francis_Highett&action=edit&redlink=1","Roy F Highett"
"/wiki/Bert_St._John","Bert St John"
"/w/index.php?title=R._J._Goodman&action=edit&redlink=1","R J Goodman"
"/w/index.php?title=R.J._Goodman&action=edit&redlink=1","RJ Goodman"
"/w/index.php?title=F._Lendrum&action=edit&redlink=1","F Lendrum"
"/w/index.php?title=F.J._Lendrum&action=edit&redlink=1","FJ Lendrum"
"/wiki/Clarence_Todd_(tennis)","Clarence Todd"
"/w/index.php?title=Walter_H._Smith&action=edit&redlink=1","Walter H Smith"
"/w/index.php?title=Walter_Harold_Smith_(tennis)&action=edit&redlink=1","Walter H Smith"
"/wiki/Algernon_Kingscote","Algernon Kingscote"
"/wiki/Alfred_Beamish","Alfred Beamish"
"/wiki/James_Anderson_(tennis)","James Anderson"
"/w/index.php?title=Henry_Marsh_(tennis)&action=edit&redlink=1","Henry Marsh"
"/wiki/Arthur_Lowe_(tennis)","Arthur Lowe"
"/wiki/Pat_O%27Hara_Wood","Pat OHara Wood"
"/w/index.php?title=Leonard_Darby&action=edit&redlink=1","Leonard Darby"
"/wiki/Algernon_Kingscote","A Kingscote"
"/w/index.php?title=K_Poulton&action=edit&redlink=1","K Poulton"
"/wiki/Clarence_Todd_(tennis)","C Todd"
"/wiki/Norman_Peach","N Peach"
"/w/index.php?title=G_Reid&action=edit&redlink=1","G Reid"
"/w/index.php?title=R_Eagle&action=edit&redlink=1","R Eagle"
"/w/index.php?title=T_Newton&action=edit&redlink=1","T Newton"
