"player_page","player"
"/wiki/Jean_Washer","Jean Washer"
"/wiki/Henri_Cochet","Henri Cochet"
"/wiki/Jean_Borotra","Jean Borotra"
"/wiki/Paul_F%C3%A9ret","Paul Feret"
"/wiki/Ren%C3%A9_Lacoste","Rene Lacoste"
"/wiki/Eduardo_Flaquer","Eduardo Flaquer"
"/wiki/Sydney_Jacob","Sydney Jacob"
"/wiki/Andr%C3%A9_Gobert","Andre Gobert"
"/wiki/Jean_Washer","J Washer"
"/wiki/Henri_Cochet","H Cochet"
"/wiki/Nicolae_Mi%C8%99u_(tennis)","Nicolae Misu"
"/wiki/Nicolae_Mi%C8%99u_(tennis)","N Misu"
"/wiki/Jean_Borotra","J Borotra"
"/wiki/Ren%C3%A9_de_Buzelet","Rene de Buzelet"
"/wiki/Hassan_Ali_Fyzee","HA Fyzee"
"/wiki/Hassan_Ali_Fyzee","Hassan Ali Fyzee"
"/wiki/Rodrigo_de_Castro_Pereira","Rodrigo de Castro Pereira"
"/wiki/Charles_Aeschlimann","Charles Aeschlimann"
"/wiki/Charles_Aeschlimann","C Aeschlimann"
"/wiki/Paul_F%C3%A9ret","P Feret"
"/wiki/Augustos_Zerlendis","Augustos Zerlendis"
"/wiki/Max_Decugis","Max Decugis"
"/wiki/Ren%C3%A9_Lacoste","R Lacoste"
"/wiki/Athar-Ali_Fyzee","AA Fyzee"
"/wiki/Athar-Ali_Fyzee","AtharAli Fyzee"
"/wiki/Eduardo_Flaquer","E Flaquer"
"/wiki/Pierre_Canivet","Pierre Canivet"
"/wiki/Pierre_Canivet","P Canivet"
"/wiki/Rodney_Heath","Rodney Heath"
"/wiki/Jean-Pierre_Samazeuilh","JeanPierre Samazeuilh"
"/wiki/Sydney_Jacob","S Jacob"
"/wiki/Jacques_Brugnon","Jacques Brugnon"
"/wiki/Jacques_Brugnon","J Brugnon"
"/wiki/Gordon_Crole-Rees","Gordon CroleRees"
"/wiki/Gordon_Crole-Rees","G CroleRees"
"/wiki/Andr%C3%A9_Gobert","A Gobert"
"/wiki/Pierre_Henri_Landry","Pierre Henri Landry"
"/wiki/Pierre_Henri_Landry","PH Landry"
"/wiki/Pat_Spence","P Spence"
"/wiki/Pat_Spence","Pat Spence"
"/wiki/Vinnie_Richards","Vinnie Richards"
"/wiki/B%C3%A9la_Von_Kehrling","Bela Von Kehrling"
"/wiki/Howard_Kinsey","Howard Kinsey"
"/wiki/Nicolas_Mishu","Nicolas Mishu"
"/wiki/Vinnie_Richards","Richards"
"/w/index.php?title=Pierre_Hirsch&action=edit&redlink=1","Hirsch"
"/wiki/Mino_Balbi_Di_Robecco","Balbi Di Robecco"
"/wiki/J._Colin_Gregory","Gregory"
"/w/index.php?title=Sergei_Rodzianko&action=edit&redlink=1","Rodzianko"
"/w/index.php?title=Enrique_Obarrio&action=edit&redlink=1","Obarrio"
"/w/index.php?title=Raymond_Rodel&action=edit&redlink=1","Rodel"
"/wiki/Athar-Ali_Fyzee","Fyzee"
"/wiki/Pierre_Henri_Landry","Landry"
"/wiki/Jacques_Brugnon","Brugnon"
"/w/index.php?title=R._Thalbitzer&action=edit&redlink=1","Thalbitzer"
"/wiki/B%C3%A9la_Von_Kehrling","Von Kehrling"
"/w/index.php?title=Jean_Richard_Le_Besnerais&action=edit&redlink=1","Le Besnerais"
"/w/index.php?title=Cornelis_Bryan&action=edit&redlink=1","Bryan"
