"player_page","player"
"/wiki/Wilberforce_Eaves","W Eaves"
"/wiki/Wilfred_Baddeley","W Baddeley"
"/wiki/Wilfred_Baddeley","Wilfred Baddeley"
"/wiki/Harold_Mahony","Harold Mahony"
"/wiki/Horace_Chapman_(tennis)","Horace Chapman"
"/wiki/Ernest_George_Meers","E Meers"
"/wiki/Herbert_Baddeley","Herbert Baddeley"
"/wiki/Herbert_Baddeley","H Baddeley"
"/wiki/Frank_Stoker","Frank Stoker"
"/wiki/Arthur_Gore_(tennis)","A Gore"
"/wiki/Harold_Mahony","H Mahony"
"/wiki/Horace_Chapman_(tennis)","H Chapman"
"/wiki/Reginald_Arthur_Gamble","Reginald Gamble"
"/wiki/Reginald_Arthur_Gamble","R Gamble"
"/wiki/Ernest_Crawley","Alfred Crawley"
"/wiki/Ernest_Crawley","A Crawley"
"/wiki/Oliver_Campbell","Oliver Campbell"
"/wiki/Oliver_Campbell","O Campbell"
"/wiki/Archdale_Palmer","Archdale Palmer"
"/wiki/Sydney_Howard_Smith","Sydney Smith"
"/wiki/Sydney_Howard_Smith","S Smith"
"/wiki/Frank_Stoker","F Stoker"
"/wiki/Archdale_Palmer","A Palmer"
"/wiki/Tom_Chaytor","Tom Chaytor"
"/wiki/Tom_Chaytor","T Chaytor"
"/wiki/Reginald_Doherty","Reginald Doherty"
"/wiki/Clement_Cazalet","C Cazalet"
"/wiki/Clement_Cazalet","Clement Cazalet"
"/wiki/George_Simond","George Simond"
"/wiki/George_Simond","G Simond"
"/wiki/Harold_Nisbet","Harold Nisbet"
"/wiki/Reginald_Doherty","R Doherty"
"/wiki/Harold_Nisbet","H Nisbet"
"/wiki/John_Flavelle","J Flavelle"
"/wiki/John_Flavelle","John Flavelle"
"/wiki/Frederick_William_Payn","Frederick Payn"
"/wiki/Frank_Riseley","Frank Riseley"
"/wiki/Frank_Riseley","F Riseley"
"/wiki/Frederick_Plaskitt","Frederick Plaskitt"
"/wiki/Charles_P._Dixon","Charles Dixon"
"/wiki/George_Greville_(tennis)","George Greville"
"/wiki/Laurence_Doherty","Laurence Doherty"
"/wiki/Arthur_E._Foote","A Foote"
"/wiki/Arthur_E._Foote","Arthur Foote"
"/wiki/William_Larned","William Larned"
"/wiki/William_Larned","W Larned"
"/wiki/Arthur_Norris","Arthur Norris"
"/wiki/George_Greville_(tennis)","G Greville"
"/wiki/Laurence_Doherty","L Doherty"
"/wiki/Major_Ritchie","Major Ritchie"
"/wiki/Clarence_Hobart","Clarence Hobart"
"/wiki/Major_Ritchie","M Ritchie"
"/wiki/Clarence_Hobart","C Hobart"
"/wiki/Frederick_William_Payn","F Payn"
"/wiki/Herbert_Roper_Barrett","Herbert Roper Barrett"
"/wiki/George_Caridia","George Caridia"
"/wiki/Herbert_Roper_Barrett","HR Barrett"
"/wiki/Wylie_Cameron_Grant","Wylie Grant"
"/wiki/Philip_Pearson_(tennis)","P Pearson"
"/wiki/Philip_Pearson_(tennis)","Philip Pearson"
"/wiki/Jahial_Parmly_Paret","Jahial Parmly Paret"
"/wiki/George_Caridia","G Caridia"
"/wiki/Roderick_McNair","Roderick McNair"
"/wiki/Frederick_Plaskitt","F Plaskitt"
"/wiki/Sir_Ernest_Wills,_3rd_Baronet","Ernest Wills"
"/wiki/Roderick_McNair","R McNair"
"/wiki/Ernest_Black","Ernest Black"
"/wiki/Charles_P._Dixon","C Dixon"
"/wiki/Brame_Hillyard","Brame Hillyard"
"/wiki/Lionel_Escombe","Lionel Escombe"
"/wiki/Walter_Crawley","Walter Crawley"
"/wiki/Harry_Parker_(tennis)","H Parker"
"/wiki/Harry_Parker_(tennis)","Harry Parker"
"/wiki/Paul_de_Borman","Paul de Borman"
"/wiki/Ernest_Stanley_Salmon","Ernest Salmon"
"/wiki/Paul_de_Borman","P de Borman"
"/wiki/Herbert_Roper_Barrett","H Barrett"
"/wiki/Walter_Crawley","W Crawley"
"/wiki/Leslie_L._R._Hausburg","Leslie Hausburg"
"/wiki/William_le_Maire_de_Warz%C3%A9e_d%27Hermalle","W le Maire de Warzee"
"/wiki/William_le_Maire_de_Warz%C3%A9e_d%27Hermalle","William le Maire de Warzee"
"/wiki/Henry_Wilson-Fox","H WilsonFox"
"/wiki/Henry_Wilson-Fox","Henry WilsonFox"
"/wiki/Ernest_Stanley_Salmon","Ernest Stanley Salmon"
"/wiki/Brame_Hillyard","B Hillyard"
"/wiki/Arthur_Norris","A Norris"
"/wiki/Ernest_Stanley_Salmon","ES Salmon"
"/wiki/Albert_Prebble","Albert Prebble"
"/wiki/Albert_Prebble","A Prebble"
"/wiki/Charlie_Finlason","Charlie Finlason"
"/wiki/Sir_Ernest_Wills,_3rd_Baronet","E Wills"
"/wiki/Henry_Norman_Marrett","Norman Marrett"
