"player_page","player"
"/wiki/Richard_Sears_(tennis)","Richard Sears"
"/wiki/Edward_Gray_(tennis)","Edward Gray"
"/wiki/William_Glyn","William Glyn"
"/wiki/Richard_Sears_(tennis)","RD Sears"
"/wiki/Edward_Gray_(tennis)","EH Gray"
"/wiki/William_Glyn","WE Glyn"
"/wiki/Richard_Field_Conover","RF Conover"
"/w/index.php?title=James_Rankine_(tennis)&action=edit&redlink=1","James Rankine"
"/wiki/Clarence_Clark_(tennis)","Clarence Clark"
"/wiki/James_Dwight","James Dwight"
"/wiki/Richard_Sears_(tennis)","R Sears"
"/wiki/William_E._Glyn","WE Glyn"
"/w/index.php?title=FitzJames_Hynes&action=edit&redlink=1","FJ Hynes"
"/wiki/William_V.S._Thorne","WVS Thorne"
"/w/index.php?title=James_Rankine_(tennis)&action=edit&redlink=1","J Rankine"
"/w/index.php?title=Hare_William_Powell&action=edit&redlink=1","HW Powell"
"/wiki/Clarence_Clark_(tennis)","C Clark"
"/w/index.php?title=Arthur_Rives&action=edit&redlink=1","A Rives"
"/w/index.php?title=Thomas_Longwood&action=edit&redlink=1","T Longwood"
"/wiki/James_Dwight","J Dwight"
"/wiki/Joseph_Clark_(tennis)","J Clark"
"/w/index.php?title=Crawford_Nighingale&action=edit&redlink=1","C Nightingale"
"/w/index.php?title=Arthur_Smith_(tennis)&action=edit&redlink=1","A Smith"
"/wiki/Edward_Gray_(tennis)","XB LeRoy"
"/wiki/Foxhall_Keene","Foxhall Keene"
"/wiki/Richard_Field_Conover","Richard F Conover"
"/w/index.php?title=Charles_Farnum&action=edit&redlink=1","C Farnum"
"/wiki/Howard_Taylor_(tennis)","HA Taylor"
"/w/index.php?title=William_Gammell&action=edit&redlink=1","W Gammell"
"/wiki/Foxhall_Keene","F Keene"
"/w/index.php?title=Morgan_G._Post&action=edit&redlink=1","MG Post"
"/w/index.php?title=George_M._Smith_(tennis)&action=edit&redlink=1","GM Smith"
"/w/index.php?title=Morton_Spring_Paton&action=edit&redlink=1","MS Paton"
"/wiki/Godfrey_M._Brinley","GM Brinley"
"/w/index.php?title=Arthur_Emden_Newbold&action=edit&redlink=1","AE Newbold"
"/w/index.php?title=John_S._Tooker&action=edit&redlink=1","JS Tooker"
"/w/index.php?title=Leigh_Bosnal&action=edit&redlink=1","L Bosnal"
"/wiki/Howard_Taylor_(tennis)","Howard Taylor"
"/wiki/Percy_Knapp","Percy Knapp"
"/wiki/William_V.S._Thorne","William VS Thorne"
"/wiki/Robert_Livingston_Beeckman","RL Beeckman"
"/wiki/Percy_Knapp","P Knapp"
"/wiki/Howard_Taylor_(tennis)","H Taylor"
"/wiki/Alexander_Van_Rensselaer","A Van Rensselaer"
"/wiki/William_V.S._Thorne","W Thorne"
"/wiki/Fiske_Warren","F Warren"
"/wiki/Henry_Slocum_(tennis)","H Slocum"
"/wiki/George_Richards_(tennis)","G Richards"
"/wiki/Walter_Berry_(tennis)","W Berry"
"/w/index.php?title=Allan_Curtis&action=edit&redlink=1","A Curtis"
"/w/index.php?title=Peter_R._Lyman&action=edit&redlink=1","PR Lyman"
"/w/index.php?title=Mantell_Fielding&action=edit&redlink=1","M Fielding"
"/wiki/Godfrey_M._Brinley","Godfrey M Brinley"
"/wiki/Joseph_Clark_(tennis)","Joseph Clark"
"/wiki/Walter_Berry_(tennis)","Walter Berry"
"/w/index.php?title=G._Arthur_Smith&action=edit&redlink=1","GA Smith"
"/w/index.php?title=Alex_Moffat_(tennis)&action=edit&redlink=1","A Moffat"
"/wiki/Fred_S._Mansfield","FS Mansfield"
"/w/index.php?title=Crawford_Nightingale&action=edit&redlink=1","C Nightingale"
"/w/index.php?title=Charles_B._Davis_(tennis)&action=edit&redlink=1","CB Davis"
"/w/index.php?title=Palmer_Presbry&action=edit&redlink=1","P Presbry"
"/w/index.php?title=Wilfred_Lewis_(tennis)&action=edit&redlink=1","W Lewis"
"/wiki/Robert_Livingston_Beeckman","Robert L Beeckman"
"/wiki/Charles_A._Chase","Charles A Chase"
"/wiki/Reginald_Gamble","R Gamble"
"/wiki/Oliver_Campbell","O Campbell"
"/wiki/Philip_S._Sears","PS Sears"
"/wiki/United_States",""
"/wiki/Quincy_Shaw","QA Shaw"
"/w/index.php?title=Howard_Mason_Sears&action=edit&redlink=1","HM Sears"
"/wiki/Charles_A._Chase","CA Chase"
"/w/index.php?title=Morgan_Post&action=edit&redlink=1","M Post"
"/wiki/Frederick_Winslow_Taylor","FW Taylor"
"/wiki/Henry_Slocum_(tennis)","Henry Slocum"
"/wiki/William_Thacher","William Thacher"
"/w/index.php?title=Theodore_(H.C.)_Coulter&action=edit&redlink=1","T Coulter"
"/w/index.php?title=Adam_Empie_Wright&action=edit&redlink=1","A Empie Wright"
"/w/index.php?title=George_Richmond_Fearing&action=edit&redlink=1","GR Fearing"
"/w/index.php?title=Philip_Manchester&action=edit&redlink=1","P Manchester"
"/w/index.php?title=Ganson_Depew&action=edit&redlink=1","G Depew"
"/wiki/Philip_Sears","PS Sears"
"/wiki/William_Thacher","WL Thacher"
"/wiki/Henry_Slocum_(tennis_player)","Henry Slocum"
"/wiki/Oliver_Campbell","Oliver Campbell"
"/wiki/Philip_Sears","Philip Sears"
"/w/index.php?title=Emerson_Tuttle&action=edit&redlink=1","E Tuttle"
"/w/index.php?title=John_Brown_(tennis)&action=edit&redlink=1","J Brown"
"/w/index.php?title=George_Winthrop_Lee&action=edit&redlink=1","GW Lee"
"/w/index.php?title=Walter_L._Jennings&action=edit&redlink=1","WL Jennings"
"/wiki/John_Ryerson_(tennis)","J Ryerson"
"/w/index.php?title=Butler_Lamb&action=edit&redlink=1","B Lamb"
"/w/index.php?title=Arthur_L._Williston&action=edit&redlink=1","AL Williston"
"/w/index.php?title=Thomas_Suffern_Tailer&action=edit&redlink=1","TS Tailer"
"/wiki/Valentine_Gill_Hall","VG Hall"
