"links","title","tournament","year","event"
"/wiki/1955_Australian_Championships_%E2%80%93_Men%27s_Singles","1955 Australian Championships – Men's Singles","Australian Open","1955","Men"
"/wiki/1955_French_Championships_%E2%80%93_Men%27s_Singles","1955 French Championships – Men's Singles","French Open","1955","Men"
"/wiki/1955_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1955 Wimbledon Championships – Men's Singles","Wimbledon","1955","Men"
"/wiki/1955_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1955 U.S. National Championships – Men's Singles","US Open","1955","Men"
"/wiki/1956_Australian_Championships_%E2%80%93_Men%27s_Singles","1956 Australian Championships – Men's Singles","Australian Open","1956","Men"
"/wiki/1956_French_Championships_%E2%80%93_Men%27s_Singles","1956 French Championships – Men's Singles","French Open","1956","Men"
"/wiki/1956_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1956 Wimbledon Championships – Men's Singles","Wimbledon","1956","Men"
"/wiki/1956_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1956 U.S. National Championships – Men's Singles","US Open","1956","Men"
"/wiki/1957_Australian_Championships_%E2%80%93_Men%27s_Singles","1957 Australian Championships – Men's Singles","Australian Open","1957","Men"
"/wiki/1957_French_Championships_%E2%80%93_Men%27s_Singles","1957 French Championships – Men's Singles","French Open","1957","Men"
"/wiki/1957_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1957 Wimbledon Championships – Men's Singles","Wimbledon","1957","Men"
"/wiki/1957_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1957 U.S. National Championships – Men's Singles","US Open","1957","Men"
"/wiki/1958_Australian_Championships_%E2%80%93_Men%27s_Singles","1958 Australian Championships – Men's Singles","Australian Open","1958","Men"
"/wiki/1958_French_Championships_%E2%80%93_Men%27s_Singles","1958 French Championships – Men's Singles","French Open","1958","Men"
"/wiki/1958_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1958 Wimbledon Championships – Men's Singles","Wimbledon","1958","Men"
"/wiki/1958_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1958 U.S. National Championships – Men's Singles","US Open","1958","Men"
"/wiki/1959_Australian_Championships_%E2%80%93_Men%27s_Singles","1959 Australian Championships – Men's Singles","Australian Open","1959","Men"
"/wiki/1959_French_Championships_%E2%80%93_Men%27s_Singles","1959 French Championships – Men's Singles","French Open","1959","Men"
"/wiki/1959_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1959 Wimbledon Championships – Men's Singles","Wimbledon","1959","Men"
"/wiki/1959_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1959 U.S. National Championships – Men's Singles","US Open","1959","Men"
"/wiki/1960_Australian_Championships_%E2%80%93_Men%27s_Singles","1960 Australian Championships – Men's Singles","Australian Open","1960","Men"
"/wiki/1960_French_Championships_%E2%80%93_Men%27s_Singles","1960 French Championships – Men's Singles","French Open","1960","Men"
"/wiki/1960_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1960 Wimbledon Championships – Men's Singles","Wimbledon","1960","Men"
"/wiki/1960_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1960 U.S. National Championships – Men's Singles","US Open","1960","Men"
"/wiki/1961_Australian_Championships_%E2%80%93_Men%27s_Singles","1961 Australian Championships – Men's Singles","Australian Open","1961","Men"
"/wiki/1961_French_Championships_%E2%80%93_Men%27s_Singles","1961 French Championships – Men's Singles","French Open","1961","Men"
"/wiki/1961_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1961 Wimbledon Championships – Men's Singles","Wimbledon","1961","Men"
"/wiki/1961_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1961 U.S. National Championships – Men's Singles","US Open","1961","Men"
"/wiki/1962_Australian_Championships_%E2%80%93_Men%27s_Singles","1962 Australian Championships – Men's Singles","Australian Open","1962","Men"
"/wiki/1962_French_Championships_%E2%80%93_Men%27s_Singles","1962 French Championships – Men's Singles","French Open","1962","Men"
"/wiki/1962_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1962 Wimbledon Championships – Men's Singles","Wimbledon","1962","Men"
"/wiki/1962_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1962 U.S. National Championships – Men's Singles","US Open","1962","Men"
"/wiki/1963_Australian_Championships_%E2%80%93_Men%27s_Singles","1963 Australian Championships – Men's Singles","Australian Open","1963","Men"
"/wiki/1963_French_Championships_%E2%80%93_Men%27s_Singles","1963 French Championships – Men's Singles","French Open","1963","Men"
"/wiki/1963_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1963 Wimbledon Championships – Men's Singles","Wimbledon","1963","Men"
"/wiki/1963_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1963 U.S. National Championships – Men's Singles","US Open","1963","Men"
"/wiki/1964_Australian_Championships_%E2%80%93_Men%27s_Singles","1964 Australian Championships – Men's Singles","Australian Open","1964","Men"
"/wiki/1964_French_Championships_%E2%80%93_Men%27s_Singles","1964 French Championships – Men's Singles","French Open","1964","Men"
"/wiki/1964_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1964 Wimbledon Championships – Men's Singles","Wimbledon","1964","Men"
"/wiki/1964_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1964 U.S. National Championships – Men's Singles","US Open","1964","Men"
"/wiki/1965_Australian_Championships_%E2%80%93_Men%27s_Singles","1965 Australian Championships – Men's Singles","Australian Open","1965","Men"
"/wiki/1965_French_Championships_%E2%80%93_Men%27s_Singles","1965 French Championships – Men's Singles","French Open","1965","Men"
"/wiki/1965_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1965 Wimbledon Championships – Men's Singles","Wimbledon","1965","Men"
"/wiki/1965_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1965 U.S. National Championships – Men's Singles","US Open","1965","Men"
"/wiki/1966_Australian_Championships_%E2%80%93_Men%27s_Singles","1966 Australian Championships – Men's Singles","Australian Open","1966","Men"
"/wiki/1966_French_Championships_%E2%80%93_Men%27s_Singles","1966 French Championships – Men's Singles","French Open","1966","Men"
"/wiki/1966_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1966 Wimbledon Championships – Men's Singles","Wimbledon","1966","Men"
"/wiki/1966_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1966 U.S. National Championships – Men's Singles","US Open","1966","Men"
"/wiki/1967_Australian_Championships_%E2%80%93_Men%27s_Singles","1967 Australian Championships – Men's Singles","Australian Open","1967","Men"
"/wiki/1967_French_Championships_%E2%80%93_Men%27s_Singles","1967 French Championships – Men's Singles","French Open","1967","Men"
"/wiki/1967_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1967 Wimbledon Championships – Men's Singles","Wimbledon","1967","Men"
"/wiki/1967_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1967 U.S. National Championships – Men's Singles","US Open","1967","Men"
"/wiki/1968_Australian_Championships_%E2%80%93_Men%27s_Singles","1968 Australian Championships – Men's Singles","Australian Open","1968","Men"
"/wiki/1968_French_Open_%E2%80%93_Men%27s_Singles","1968 French Open – Men's Singles","French Open","1968","Men"
"/wiki/1968_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1968 Wimbledon Championships – Men's Singles","Wimbledon","1968","Men"
"/wiki/1968_US_Open_%E2%80%93_Men%27s_Singles","1968 US Open – Men's Singles","US Open","1968","Men"
"/wiki/1969_Australian_Open_%E2%80%93_Men%27s_Singles","1969 Australian Open – Men's Singles","Australian Open","1969","Men"
"/wiki/1969_French_Open_%E2%80%93_Men%27s_Singles","1969 French Open – Men's Singles","French Open","1969","Men"
"/wiki/1969_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1969 Wimbledon Championships – Men's Singles","Wimbledon","1969","Men"
"/wiki/1969_US_Open_%E2%80%93_Men%27s_Singles","1969 US Open – Men's Singles","US Open","1969","Men"
"/wiki/1970_Australian_Open_%E2%80%93_Men%27s_Singles","1970 Australian Open – Men's Singles","Australian Open","1970","Men"
"/wiki/1970_French_Open_%E2%80%93_Men%27s_Singles","1970 French Open – Men's Singles","French Open","1970","Men"
"/wiki/1970_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1970 Wimbledon Championships – Men's Singles","Wimbledon","1970","Men"
"/wiki/1970_US_Open_%E2%80%93_Men%27s_Singles","1970 US Open – Men's Singles","US Open","1970","Men"
"/wiki/1971_Australian_Open_%E2%80%93_Men%27s_Singles","1971 Australian Open – Men's Singles","Australian Open","1971","Men"
"/wiki/1971_French_Open_%E2%80%93_Men%27s_Singles","1971 French Open – Men's Singles","French Open","1971","Men"
"/wiki/1971_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1971 Wimbledon Championships – Men's Singles","Wimbledon","1971","Men"
"/wiki/1971_US_Open_%E2%80%93_Men%27s_Singles","1971 US Open – Men's Singles","US Open","1971","Men"
"/wiki/1972_Australian_Open_%E2%80%93_Men%27s_Singles","1972 Australian Open – Men's Singles","Australian Open","1972","Men"
"/wiki/1972_French_Open_%E2%80%93_Men%27s_Singles","1972 French Open – Men's Singles","French Open","1972","Men"
"/wiki/1972_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1972 Wimbledon Championships – Men's Singles","Wimbledon","1972","Men"
"/wiki/1972_US_Open_%E2%80%93_Men%27s_Singles","1972 US Open – Men's Singles","US Open","1972","Men"
"/wiki/1973_Australian_Open_%E2%80%93_Men%27s_Singles","1973 Australian Open – Men's Singles","Australian Open","1973","Men"
"/wiki/1973_French_Open_%E2%80%93_Men%27s_Singles","1973 French Open – Men's Singles","French Open","1973","Men"
"/wiki/1973_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1973 Wimbledon Championships – Men's Singles","Wimbledon","1973","Men"
"/wiki/1973_US_Open_%E2%80%93_Men%27s_Singles","1973 US Open – Men's Singles","US Open","1973","Men"
"/wiki/1974_Australian_Open_%E2%80%93_Men%27s_Singles","1974 Australian Open – Men's Singles","Australian Open","1974","Men"
"/wiki/1974_French_Open_%E2%80%93_Men%27s_Singles","1974 French Open – Men's Singles","French Open","1974","Men"
"/wiki/1974_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1974 Wimbledon Championships – Men's Singles","Wimbledon","1974","Men"
"/wiki/1974_US_Open_%E2%80%93_Men%27s_Singles","1974 US Open – Men's Singles","US Open","1974","Men"
"/wiki/1975_Australian_Open_%E2%80%93_Men%27s_Singles","1975 Australian Open – Men's Singles","Australian Open","1975","Men"
"/wiki/1975_French_Open_%E2%80%93_Men%27s_Singles","1975 French Open – Men's Singles","French Open","1975","Men"
"/wiki/1975_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1975 Wimbledon Championships – Men's Singles","Wimbledon","1975","Men"
"/wiki/1975_US_Open_%E2%80%93_Men%27s_Singles","1975 US Open – Men's Singles","US Open","1975","Men"
"/wiki/1976_Australian_Open_%E2%80%93_Men%27s_Singles","1976 Australian Open – Men's Singles","Australian Open","1976","Men"
"/wiki/1976_French_Open_%E2%80%93_Men%27s_Singles","1976 French Open – Men's Singles","French Open","1976","Men"
"/wiki/1976_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1976 Wimbledon Championships – Men's Singles","Wimbledon","1976","Men"
"/wiki/1976_US_Open_%E2%80%93_Men%27s_Singles","1976 US Open – Men's Singles","US Open","1976","Men"
"/wiki/1977_Australian_Open_(January)_%E2%80%93_Men%27s_Singles","1977 Australian Open (January) - Men's Singles","Australian Open","1977","Men"
"/wiki/1977_French_Open_%E2%80%93_Men%27s_Singles","1977 French Open – Men's Singles","French Open","1977","Men"
"/wiki/1977_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1977 Wimbledon Championships – Men's Singles","Wimbledon","1977","Men"
"/wiki/1977_US_Open_%E2%80%93_Men%27s_Singles","1977 US Open – Men's Singles","US Open","1977","Men"
"/wiki/1977_Australian_Open_(December)_%E2%80%93_Men%27s_Singles","1977 Australian Open (December) - Men's Singles","Australian Open","1977","Men"
"/wiki/1978_French_Open_%E2%80%93_Men%27s_Singles","1978 French Open – Men's Singles","French Open","1978","Men"
"/wiki/1978_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1978 Wimbledon Championships – Men's Singles","Wimbledon","1978","Men"
"/wiki/1978_US_Open_%E2%80%93_Men%27s_Singles","1978 US Open – Men's Singles","US Open","1978","Men"
"/wiki/1978_Australian_Open_%E2%80%93_Men%27s_Singles","1978 Australian Open – Men's Singles","Australian Open","1978","Men"
"/wiki/1979_French_Open_%E2%80%93_Men%27s_Singles","1979 French Open – Men's Singles","French Open","1979","Men"
"/wiki/1979_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1979 Wimbledon Championships – Men's Singles","Wimbledon","1979","Men"
"/wiki/1979_US_Open_%E2%80%93_Men%27s_Singles","1979 US Open – Men's Singles","US Open","1979","Men"
"/wiki/1979_Australian_Open_%E2%80%93_Men%27s_Singles","1979 Australian Open – Men's Singles","Australian Open","1979","Men"
"/wiki/1980_French_Open_%E2%80%93_Men%27s_Singles","1980 French Open – Men's Singles","French Open","1980","Men"
"/wiki/1980_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1980 Wimbledon Championships – Men's Singles","Wimbledon","1980","Men"
"/wiki/1980_US_Open_%E2%80%93_Men%27s_Singles","1980 US Open – Men's Singles","US Open","1980","Men"
"/wiki/1980_Australian_Open_%E2%80%93_Men%27s_Singles","1980 Australian Open – Men's Singles","Australian Open","1980","Men"
"/wiki/1981_French_Open_%E2%80%93_Men%27s_Singles","1981 French Open – Men's Singles","French Open","1981","Men"
"/wiki/1981_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1981 Wimbledon Championships – Men's Singles","Wimbledon","1981","Men"
"/wiki/1981_US_Open_%E2%80%93_Men%27s_Singles","1981 US Open – Men's Singles","US Open","1981","Men"
"/wiki/1981_Australian_Open_%E2%80%93_Men%27s_Singles","1981 Australian Open – Men's Singles","Australian Open","1981","Men"
"/wiki/1982_French_Open_%E2%80%93_Men%27s_Singles","1982 French Open – Men's Singles","French Open","1982","Men"
"/wiki/1982_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1982 Wimbledon Championships – Men's Singles","Wimbledon","1982","Men"
"/wiki/1982_US_Open_%E2%80%93_Men%27s_Singles","1982 US Open – Men's Singles","US Open","1982","Men"
"/wiki/1982_Australian_Open_%E2%80%93_Men%27s_Singles","1982 Australian Open – Men's Singles","Australian Open","1982","Men"
"/wiki/1983_French_Open_%E2%80%93_Men%27s_Singles","1983 French Open – Men's Singles","French Open","1983","Men"
"/wiki/1983_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1983 Wimbledon Championships – Men's Singles","Wimbledon","1983","Men"
"/wiki/1983_US_Open_%E2%80%93_Men%27s_Singles","1983 US Open – Men's Singles","US Open","1983","Men"
"/wiki/1983_Australian_Open_%E2%80%93_Men%27s_Singles","1983 Australian Open – Men's Singles","Australian Open","1983","Men"
"/wiki/1984_French_Open_%E2%80%93_Men%27s_Singles","1984 French Open – Men's Singles","French Open","1984","Men"
"/wiki/1984_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1984 Wimbledon Championships – Men's Singles","Wimbledon","1984","Men"
"/wiki/1984_US_Open_%E2%80%93_Men%27s_Singles","1984 US Open – Men's Singles","US Open","1984","Men"
"/wiki/1984_Australian_Open_%E2%80%93_Men%27s_Singles","1984 Australian Open – Men's Singles","Australian Open","1984","Men"
"/wiki/1985_French_Open_%E2%80%93_Men%27s_Singles","1985 French Open – Men's Singles","French Open","1985","Men"
"/wiki/1985_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1985 Wimbledon Championships – Men's Singles","Wimbledon","1985","Men"
"/wiki/1985_US_Open_%E2%80%93_Men%27s_Singles","1985 US Open – Men's Singles","US Open","1985","Men"
"/wiki/1985_Australian_Open_%E2%80%93_Men%27s_Singles","1985 Australian Open – Men's Singles","Australian Open","1985","Men"
"/wiki/1986_French_Open_%E2%80%93_Men%27s_Singles","1986 French Open – Men's Singles","French Open","1986","Men"
"/wiki/1986_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1986 Wimbledon Championships – Men's Singles","Wimbledon","1986","Men"
"/wiki/1986_US_Open_%E2%80%93_Men%27s_Singles","1986 US Open – Men's Singles","US Open","1986","Men"
"/wiki/1987_Australian_Open_%E2%80%93_Men%27s_Singles","1987 Australian Open – Men's Singles","Australian Open","1987","Men"
"/wiki/1987_French_Open_%E2%80%93_Men%27s_Singles","1987 French Open – Men's Singles","French Open","1987","Men"
"/wiki/1987_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1987 Wimbledon Championships – Men's Singles","Wimbledon","1987","Men"
"/wiki/1987_US_Open_%E2%80%93_Men%27s_Singles","1987 US Open – Men's Singles","US Open","1987","Men"
"/wiki/1988_Australian_Open_%E2%80%93_Men%27s_Singles","1988 Australian Open – Men's Singles","Australian Open","1988","Men"
"/wiki/1988_French_Open_%E2%80%93_Men%27s_Singles","1988 French Open – Men's Singles","French Open","1988","Men"
"/wiki/1988_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1988 Wimbledon Championships – Men's Singles","Wimbledon","1988","Men"
"/wiki/1988_US_Open_%E2%80%93_Men%27s_Singles","1988 US Open – Men's Singles","US Open","1988","Men"
"/wiki/1989_Australian_Open_%E2%80%93_Men%27s_Singles","1989 Australian Open – Men's Singles","Australian Open","1989","Men"
"/wiki/1989_French_Open_%E2%80%93_Men%27s_Singles","1989 French Open – Men's Singles","French Open","1989","Men"
"/wiki/1989_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1989 Wimbledon Championships – Men's Singles","Wimbledon","1989","Men"
"/wiki/1989_US_Open_%E2%80%93_Men%27s_Singles","1989 US Open – Men's Singles","US Open","1989","Men"
"/wiki/1990_Australian_Open_%E2%80%93_Men%27s_Singles","1990 Australian Open – Men's Singles","Australian Open","1990","Men"
"/wiki/1990_French_Open_%E2%80%93_Men%27s_Singles","1990 French Open – Men's Singles","French Open","1990","Men"
"/wiki/1990_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1990 Wimbledon Championships – Men's Singles","Wimbledon","1990","Men"
"/wiki/1990_US_Open_%E2%80%93_Men%27s_Singles","1990 US Open – Men's Singles","US Open","1990","Men"
"/wiki/1991_Australian_Open_%E2%80%93_Men%27s_Singles","1991 Australian Open – Men's Singles","Australian Open","1991","Men"
"/wiki/1991_French_Open_%E2%80%93_Men%27s_Singles","1991 French Open – Men's Singles","French Open","1991","Men"
"/wiki/1991_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1991 Wimbledon Championships – Men's Singles","Wimbledon","1991","Men"
"/wiki/1991_US_Open_%E2%80%93_Men%27s_Singles","1991 US Open – Men's Singles","US Open","1991","Men"
"/wiki/1992_Australian_Open_%E2%80%93_Men%27s_Singles","1992 Australian Open – Men's Singles","Australian Open","1992","Men"
"/wiki/1992_French_Open_%E2%80%93_Men%27s_Singles","1992 French Open – Men's Singles","French Open","1992","Men"
"/wiki/1992_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1992 Wimbledon Championships – Men's Singles","Wimbledon","1992","Men"
"/wiki/1992_US_Open_%E2%80%93_Men%27s_Singles","1992 US Open – Men's Singles","US Open","1992","Men"
"/wiki/1993_Australian_Open_%E2%80%93_Men%27s_Singles","1993 Australian Open – Men's Singles","Australian Open","1993","Men"
"/wiki/1993_French_Open_%E2%80%93_Men%27s_Singles","1993 French Open – Men's Singles","French Open","1993","Men"
"/wiki/1993_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1993 Wimbledon Championships – Men's Singles","Wimbledon","1993","Men"
"/wiki/1993_US_Open_%E2%80%93_Men%27s_Singles","1993 US Open – Men's Singles","US Open","1993","Men"
"/wiki/1994_Australian_Open_%E2%80%93_Men%27s_Singles","1994 Australian Open – Men's Singles","Australian Open","1994","Men"
"/wiki/1994_French_Open_%E2%80%93_Men%27s_Singles","1994 French Open – Men's Singles","French Open","1994","Men"
"/wiki/1994_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1994 Wimbledon Championships – Men's Singles","Wimbledon","1994","Men"
"/wiki/1994_US_Open_%E2%80%93_Men%27s_Singles","1994 US Open – Men's Singles","US Open","1994","Men"
"/wiki/1995_Australian_Open_%E2%80%93_Men%27s_Singles","1995 Australian Open – Men's Singles","Australian Open","1995","Men"
"/wiki/1995_French_Open_%E2%80%93_Men%27s_Singles","1995 French Open – Men's Singles","French Open","1995","Men"
"/wiki/1995_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1995 Wimbledon Championships – Men's Singles","Wimbledon","1995","Men"
"/wiki/1995_US_Open_%E2%80%93_Men%27s_Singles","1995 US Open – Men's Singles","US Open","1995","Men"
"/wiki/1996_Australian_Open_%E2%80%93_Men%27s_Singles","1996 Australian Open – Men's Singles","Australian Open","1996","Men"
"/wiki/1996_French_Open_%E2%80%93_Men%27s_Singles","1996 French Open – Men's Singles","French Open","1996","Men"
"/wiki/1996_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1996 Wimbledon Championships – Men's Singles","Wimbledon","1996","Men"
"/wiki/1996_US_Open_%E2%80%93_Men%27s_Singles","1996 US Open – Men's Singles","US Open","1996","Men"
"/wiki/1997_Australian_Open_%E2%80%93_Men%27s_Singles","1997 Australian Open – Men's Singles","Australian Open","1997","Men"
"/wiki/1997_French_Open_%E2%80%93_Men%27s_Singles","1997 French Open – Men's Singles","French Open","1997","Men"
"/wiki/1997_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1997 Wimbledon Championships – Men's Singles","Wimbledon","1997","Men"
"/wiki/1997_US_Open_%E2%80%93_Men%27s_Singles","1997 US Open – Men's Singles","US Open","1997","Men"
"/wiki/1998_Australian_Open_%E2%80%93_Men%27s_Singles","1998 Australian Open – Men's Singles","Australian Open","1998","Men"
"/wiki/1998_French_Open_%E2%80%93_Men%27s_Singles","1998 French Open – Men's Singles","French Open","1998","Men"
"/wiki/1998_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1998 Wimbledon Championships – Men's Singles","Wimbledon","1998","Men"
"/wiki/1998_US_Open_%E2%80%93_Men%27s_Singles","1998 US Open – Men's Singles","US Open","1998","Men"
"/wiki/1999_Australian_Open_%E2%80%93_Men%27s_Singles","1999 Australian Open – Men's Singles","Australian Open","1999","Men"
"/wiki/1999_French_Open_%E2%80%93_Men%27s_Singles","1999 French Open – Men's Singles","French Open","1999","Men"
"/wiki/1999_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1999 Wimbledon Championships – Men's Singles","Wimbledon","1999","Men"
"/wiki/1999_US_Open_%E2%80%93_Men%27s_Singles","1999 US Open – Men's Singles","US Open","1999","Men"
"/wiki/2000_Australian_Open_%E2%80%93_Men%27s_Singles","2000 Australian Open – Men's Singles","Australian Open","2000","Men"
"/wiki/2000_French_Open_%E2%80%93_Men%27s_Singles","2000 French Open – Men's Singles","French Open","2000","Men"
"/wiki/2000_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2000 Wimbledon Championships – Men's Singles","Wimbledon","2000","Men"
"/wiki/2000_US_Open_%E2%80%93_Men%27s_Singles","2000 US Open – Men's Singles","US Open","2000","Men"
"/wiki/2001_Australian_Open_%E2%80%93_Men%27s_Singles","2001 Australian Open – Men's Singles","Australian Open","2001","Men"
"/wiki/2001_French_Open_%E2%80%93_Men%27s_Singles","2001 French Open – Men's Singles","French Open","2001","Men"
"/wiki/2001_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2001 Wimbledon Championships – Men's Singles","Wimbledon","2001","Men"
"/wiki/2001_US_Open_%E2%80%93_Men%27s_Singles","2001 US Open – Men's Singles","US Open","2001","Men"
"/wiki/2002_Australian_Open_%E2%80%93_Men%27s_Singles","2002 Australian Open – Men's Singles","Australian Open","2002","Men"
"/wiki/2002_French_Open_%E2%80%93_Men%27s_Singles","2002 French Open – Men's Singles","French Open","2002","Men"
"/wiki/2002_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2002 Wimbledon Championships – Men's Singles","Wimbledon","2002","Men"
"/wiki/2002_US_Open_%E2%80%93_Men%27s_Singles","2002 US Open – Men's Singles","US Open","2002","Men"
"/wiki/2003_Australian_Open_%E2%80%93_Men%27s_Singles","2003 Australian Open – Men's Singles","Australian Open","2003","Men"
"/wiki/2003_French_Open_%E2%80%93_Men%27s_Singles","2003 French Open – Men's Singles","French Open","2003","Men"
"/wiki/2003_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2003 Wimbledon Championships – Men's Singles","Wimbledon","2003","Men"
"/wiki/2003_US_Open_%E2%80%93_Men%27s_Singles","2003 US Open – Men's Singles","US Open","2003","Men"
"/wiki/2004_Australian_Open_%E2%80%93_Men%27s_Singles","2004 Australian Open – Men's Singles","Australian Open","2004","Men"
"/wiki/2004_French_Open_%E2%80%93_Men%27s_Singles","2004 French Open – Men's Singles","French Open","2004","Men"
"/wiki/2004_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2004 Wimbledon Championships – Men's Singles","Wimbledon","2004","Men"
"/wiki/2004_US_Open_%E2%80%93_Men%27s_Singles","2004 US Open – Men's Singles","US Open","2004","Men"
"/wiki/2005_Australian_Open_%E2%80%93_Men%27s_Singles","2005 Australian Open – Men's Singles","Australian Open","2005","Men"
"/wiki/2005_French_Open_%E2%80%93_Men%27s_Singles","2005 French Open – Men's Singles","French Open","2005","Men"
"/wiki/2005_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2005 Wimbledon Championships – Men's Singles","Wimbledon","2005","Men"
"/wiki/2005_US_Open_%E2%80%93_Men%27s_Singles","2005 US Open – Men's Singles","US Open","2005","Men"
"/wiki/2006_Australian_Open_%E2%80%93_Men%27s_Singles","2006 Australian Open – Men's Singles","Australian Open","2006","Men"
"/wiki/2006_French_Open_%E2%80%93_Men%27s_Singles","2006 French Open – Men's Singles","French Open","2006","Men"
"/wiki/2006_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2006 Wimbledon Championships – Men's Singles","Wimbledon","2006","Men"
"/wiki/2006_US_Open_%E2%80%93_Men%27s_Singles","2006 US Open – Men's Singles","US Open","2006","Men"
"/wiki/2007_Australian_Open_%E2%80%93_Men%27s_Singles","2007 Australian Open – Men's Singles","Australian Open","2007","Men"
"/wiki/2007_French_Open_%E2%80%93_Men%27s_Singles","2007 French Open – Men's Singles","French Open","2007","Men"
"/wiki/2007_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2007 Wimbledon Championships – Men's Singles","Wimbledon","2007","Men"
"/wiki/2007_US_Open_%E2%80%93_Men%27s_Singles","2007 US Open – Men's Singles","US Open","2007","Men"
"/wiki/2008_Australian_Open_%E2%80%93_Men%27s_Singles","2008 Australian Open – Men's Singles","Australian Open","2008","Men"
"/wiki/2008_French_Open_%E2%80%93_Men%27s_Singles","2008 French Open – Men's Singles","French Open","2008","Men"
"/wiki/2008_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2008 Wimbledon Championships – Men's Singles","Wimbledon","2008","Men"
"/wiki/2008_US_Open_%E2%80%93_Men%27s_Singles","2008 US Open – Men's Singles","US Open","2008","Men"
"/wiki/2009_Australian_Open_%E2%80%93_Men%27s_Singles","2009 Australian Open – Men's Singles","Australian Open","2009","Men"
"/wiki/2009_French_Open_%E2%80%93_Men%27s_Singles","2009 French Open – Men's Singles","French Open","2009","Men"
"/wiki/2009_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","2009 Wimbledon Championships – Men's Singles","Wimbledon","2009","Men"
"/wiki/2009_US_Open_%E2%80%93_Men%27s_Singles","2009 US Open – Men's Singles","US Open","2009","Men"
"/wiki/2010_Australian_Open_%E2%80%93_Men%27s_Singles","2010 Australian Open – Men's Singles","Australian Open","2010","Men"
