"links","title","tournament","year","event"
"/wiki/1920_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1920 Wimbledon Championships – Men's Singles","Wimbledon","1920","Men"
"/wiki/1920_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1920 U.S. National Championships – Men's Singles","US Open","1920","Men"
"/wiki/1921_Australasian_Championships_%E2%80%93_Men%27s_Singles","1921 Australasian Championships – Men's Singles","Australian Open","1921","Men"
"/wiki/1921_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1921 Wimbledon Championships – Men's Singles","Wimbledon","1921","Men"
"/wiki/1921_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1921 U.S. National Championships – Men's Singles","US Open","1921","Men"
"/wiki/1922_Australasian_Championships_%E2%80%93_Men%27s_Singles","1922 Australasian Championships – Men's Singles","Australian Open","1922","Men"
"/wiki/1922_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1922 Wimbledon Championships – Men's Singles","Wimbledon","1922","Men"
"/wiki/1922_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1922 U.S. National Championships – Men's Singles","US Open","1922","Men"
"/wiki/1923_Australasian_Championships_%E2%80%93_Men%27s_Singles","1923 Australasian Championships – Men's Singles","Australian Open","1923","Men"
"/wiki/1923_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1923 Wimbledon Championships – Men's Singles","Wimbledon","1923","Men"
"/wiki/1923_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1923 U.S. National Championships – Men's Singles","US Open","1923","Men"
"/wiki/1924_Australasian_Championships_%E2%80%93_Men%27s_Singles","1924 Australasian Championships – Men's Singles","Australian Open","1924","Men"
"/wiki/1924_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1924 Wimbledon Championships – Men's Singles","Wimbledon","1924","Men"
"/wiki/1924_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1924 U.S. National Championships – Men's Singles","US Open","1924","Men"
"/wiki/1925_Australasian_Championships_%E2%80%93_Men%27s_Singles","1925 Australasian Championships – Men's Singles","Australian Open","1925","Men"
"/wiki/1925_French_Championships_%E2%80%93_Men%27s_Singles","1925 French Championships – Men's Singles","French Open","1925","Men"
"/wiki/1925_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1925 Wimbledon Championships – Men's Singles","Wimbledon","1925","Men"
"/wiki/1925_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1925 U.S. National Championships – Men's Singles","US Open","1925","Men"
"/wiki/1926_Australasian_Championships_%E2%80%93_Men%27s_Singles","1926 Australasian Championships – Men's Singles","Australian Open","1926","Men"
"/wiki/1926_French_Championships_%E2%80%93_Men%27s_Singles","1926 French Championships – Men's Singles","French Open","1926","Men"
"/wiki/1926_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1926 Wimbledon Championships – Men's Singles","Wimbledon","1926","Men"
"/wiki/1926_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1926 U.S. National Championships – Men's Singles","US Open","1926","Men"
"/wiki/1927_Australian_Championships_%E2%80%93_Men%27s_Singles","1927 Australian Championships – Men's Singles","Australian Open","1927","Men"
"/wiki/1927_French_Championships_%E2%80%93_Men%27s_Singles","1927 French Championships – Men's Singles","French Open","1927","Men"
"/wiki/1927_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1927 Wimbledon Championships – Men's Singles","Wimbledon","1927","Men"
"/wiki/1927_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1927 U.S. National Championships – Men's Singles","US Open","1927","Men"
"/wiki/1928_Australian_Championships_%E2%80%93_Men%27s_Singles","1928 Australian Championships – Men's Singles","Australian Open","1928","Men"
"/wiki/1928_French_Championships_%E2%80%93_Men%27s_Singles","1928 French Championships – Men's Singles","French Open","1928","Men"
"/wiki/1928_Wimbledon_Championships_%E2%80%93_Men%27s_Singles","1928 Wimbledon Championships – Men's Singles","Wimbledon","1928","Men"
"/wiki/1928_U.S._National_Championships_%E2%80%93_Men%27s_Singles","1928 U.S. National Championships – Men's Singles","US Open","1928","Men"
"/wiki/1929_Australian_Championships_%E2%80%93_Men%27s_Singles","1929 Australian Championships – Men's Singles","Australian Open","1929","Men"
"/wiki/1929_French_Championships_%E2%80%93_Men%27s_Singles","1929 French Championships – Men's Singles","French Open","1929","Men"
